threshold,tpr,fpr
0,0.9333333333333333,0.0
1,0.9333333333333333,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.01
23,1.0,0.01
24,1.0,0.04
25,1.0,0.04
26,1.0,0.1
27,1.0,0.1
28,1.0,0.22
29,1.0,0.22
30,1.0,0.395
31,1.0,0.395
32,1.0,0.605
33,1.0,0.605
34,1.0,0.78
35,1.0,0.78
36,1.0,0.885
37,1.0,0.885
38,1.0,0.96
39,1.0,0.96
40,1.0,0.985
41,1.0,0.985
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
